id,season,episode,code,title,air_date,image_url,netflix_url,netflix_fallback_url,synopsis,main_plot,b_plot,c_plot,characters_focus,quote_keywords,transcript_keywords,thanksgiving,wedding,christmas,new_year,proposal,breakup,pregnancy,flashback,celebrity_cameo,finale,two_part_episode,spoiler_weight,avoid_if,notes,mood_tags,theme_tags,context_tags,setting_tags,character_energy_tags,iconic_score,comfort_score,chaos_score,romance_score,sadness_score,background_score,rewatch_score,friendship_score,awkward_score,holiday_score,tagging_basis,curation_status
1,1,1,S01E01,The One Where Monica Gets a Roommate (Pilot),,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/1_zgYwjjNV-.jpg?updatedAt=1680245686551,https://www.netflix.com/watch/70273997?trackId=200257859,https://www.netflix.com/in/title/70153404,Rachel runs from her wedding and meets the friends in the coffee place. Ross is depressed about his divorce but he still has a crush on Rachel.,Episode driver inferred from the title and synopsis for S01E01.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,monica,monica;roommate;pilot;rachel;runs;her;wedding;meets;friends;coffee;place;ross;depressed;about;his;divorce;but;still;has;crush,monica;roommate;pilot;rachel;runs;her;wedding;meets;friends;coffee;place;ross;depressed;about;his;divorce;but;still;has;crush,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light;romantic;awkward;bittersweet;emotional,friendship;wedding;relationship-decision;breakup,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch;date-night;post-breakup;solo-comfort,monicas-apartment;central-perk;wedding-location,ensemble-chaos;ross-meltdown;ross-rachel;rachel-drama;rachel-growth;monica-control;monica-chaos,5,8,4,4,2,8,7,8,3,2,title_synopsis_rule_enrichment,
2,1,2,S01E02,The One with the Sonogram at the End,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/2_YbP9s0d3L.jpg?updatedAt=1680245686457,https://www.netflix.com/watch/70273998?trackId=200257859,https://www.netflix.com/in/title/70153404,"Ross's lesbian ex-wife is pregnant with his child, and he doesn't like her choice of a last name for the baby.",Episode driver inferred from the title and synopsis for S01E02.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,sonogram;end;ross's;lesbian;ex-wife;pregnant;his;child;doesn't;like;her;choice;last;name;baby,sonogram;end;ross's;lesbian;ex-wife;pregnant;his;child;doesn't;like;her;choice;last;name;baby,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light;emotional;wholesome,friendship;pregnancy;baby;parenting,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk;hospital;delivery-room,ensemble-chaos;ross-meltdown;ross-rachel,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
3,1,3,S01E03,The One with the Thumb,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/3_lgsdT4-1j.jpg?updatedAt=1680245686460,https://www.netflix.com/watch/70273999?trackId=200257858,https://www.netflix.com/in/title/70153404,"A soda company gives Phoebe $7,000 after she finds a dismembered thumb in a can of soda.",Episode driver inferred from the title and synopsis for S01E03.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,thumb;soda;company;gives;phoebe;after;she;finds;dismembered;can,thumb;soda;company;gives;phoebe;after;she;finds;dismembered;can,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;phoebe-weird;phoebe-wholesome,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
4,1,4,S01E04,The One with George Stephanopoulos,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/4__0MNLl0mCh.jpg?updatedAt=1680245686500,https://www.netflix.com/watch/70274000?trackId=200257858,https://www.netflix.com/in/title/70153404,"A deliveryman accidentally brings a pizza meant for George Stephanopoulos, who lives across the street from the girls.",Episode driver inferred from the title and synopsis for S01E04.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,george;stephanopoulos;deliveryman;accidentally;brings;pizza;meant;who;lives;across;street;girls,george;stephanopoulos;deliveryman;accidentally;brings;pizza;meant;who;lives;across;street;girls,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light;tense;chaotic,friendship;secret-revealed;misunderstanding,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
5,1,5,S01E05,The One with the East German Laundry Detergent,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/5_f3kEWUmaC.jpg?updatedAt=1680245686497,https://www.netflix.com/watch/70274001?trackId=200257858,https://www.netflix.com/in/title/70153404,Ross helps Rachel do laundry and considers the evening a first date. Joey has Monica pose as his new girlfriend.,Episode driver inferred from the title and synopsis for S01E05.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,east;german;laundry;detergent;ross;helps;rachel;considers;evening;first;date;joey;has;monica;pose;his;new;girlfriend,east;german;laundry;detergent;ross;helps;rachel;considers;evening;first;date;joey;has;monica;pose;his;new;girlfriend,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel;rachel-drama;rachel-growth;monica-control;monica-chaos;joey-dumb-funny;joey-heart,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
6,1,6,S01E06,The One with the Butt,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/6_UAxW8rygd.jpg?updatedAt=1680245686550,https://www.netflix.com/watch/70274002?trackId=200257858,https://www.netflix.com/in/title/70153404,Joey gets his big film break when he's hired to be Al Pacino's stunt butt.,Episode driver inferred from the title and synopsis for S01E06.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,butt;joey;his;big;film;break;when;he's;hired;pacino's;stunt,butt;joey;his;big;film;break;when;he's;hired;pacino's;stunt,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;joey-dumb-funny;joey-heart,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
7,1,7,S01E07,The One with the Blackout,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/7_00_4_tKSd.jpg?updatedAt=1680245686524,https://www.netflix.com/watch/70274003?trackId=200257858,https://www.netflix.com/in/title/70153404,"During a citywide blackout, Ross tries to tell Rachel that he likes her.",Episode driver inferred from the title and synopsis for S01E07.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,blackout;during;citywide;ross;tries;tell;rachel;likes;her,blackout;during;citywide;ross;tries;tell;rachel;likes;her,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel;rachel-drama;rachel-growth,8,6,5,3,2,8,9,8,3,2,title_synopsis_rule_enrichment,
8,1,8,S01E08,The One Where Nana Dies Twice,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/8_ezBbMN7k7S.jpg?updatedAt=1680245686462,https://www.netflix.com/watch/70274004?trackId=200257858,https://www.netflix.com/in/title/70153404,Monica and Ross mourn the death of their grandmother. Chandler questions his sexuality.,Episode driver inferred from the title and synopsis for S01E08.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,nana;dies;twice;monica;ross;mourn;death;their;grandmother;chandler;questions;his;sexuality,nana;dies;twice;monica;ross;mourn;death;their;grandmother;chandler;questions;his;sexuality,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel;monica-control;monica-chaos;chandler-sarcasm,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
9,1,9,S01E09,The One Where Underdog Gets Away,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/9_OG9h6nbrf.jpg?updatedAt=1680245686573,https://www.netflix.com/watch/70274005?trackId=200257858,https://www.netflix.com/in/title/70153404,Monica's first Thanksgiving dinner for the gang burns when they all run to the rooftop to see the runaway Underdog balloon from the parade.,Episode driver inferred from the title and synopsis for S01E09.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,underdog;away;monica's;first;thanksgiving;dinner;gang;burns;when;they;all;run;rooftop;see;runaway;balloon;parade,underdog;away;monica's;first;thanksgiving;dinner;gang;burns;when;they;all;run;rooftop;see;runaway;balloon;parade,True,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light;chaotic;cosy,friendship;thanksgiving;holiday-chaos;food,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch;group-watch,monicas-apartment;central-perk;thanksgiving-table;kitchen,ensemble-chaos;monica-control;monica-chaos,5,6,6,3,2,8,7,8,3,6,title_synopsis_rule_enrichment,
10,1,10,S01E10,The One with the Monkey,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/10_DJkOZCco4.jpg?updatedAt=1680245686486,https://www.netflix.com/watch/70274006?trackId=200257858,https://www.netflix.com/in/title/70153404,The gang makes and then breaks a pact to celebrate New Year's Eve without dates. Lonely Ross gets a roommate: a monkey named Marcel.,Episode driver inferred from the title and synopsis for S01E10.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,monkey;gang;makes;then;breaks;pact;celebrate;new;year's;eve;without;dates;lonely;ross;roommate;named;marcel,monkey;gang;makes;then;breaks;pact;celebrate;new;year's;eve;without;dates;lonely;ross;roommate;named;marcel,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
11,1,11,S01E11,The One with Mrs. Bing,,https://ik.imagekit.io/dmtrxw/friends-thumbnails/season-1/11_cR1l0xSRme.jpg?updatedAt=1680245686538,https://www.netflix.com/watch/70274007?trackId=200257859,https://www.netflix.com/in/title/70153404,"When Chandler's romance novelist mother comes to New York to visit him, Joey catches her and Ross kissing.",Episode driver inferred from the title and synopsis for S01E11.,Secondary character dynamics to be sharpened by transcript import.,Micro-conflicts and running jokes to be sharpened by transcript import.,ensemble,mrs;bing;when;chandler's;romance;novelist;mother;comes;new;york;visit;him;joey;catches;her;ross;kissing,mrs;bing;when;chandler's;romance;novelist;mother;comes;new;york;visit;him;joey;catches;her;ross;kissing,False,False,False,False,False,False,False,False,False,False,False,4,,Rule-enriched for full-site recommendations; run transcript enrichment when online for deeper quote/situation extraction.,funny;comforting;light,friendship,background-watch;indian-dinner-watch;too-tired-to-choose;comfort-rewatch,monicas-apartment;central-perk,ensemble-chaos;ross-meltdown;ross-rachel;chandler-sarcasm;joey-dumb-funny;joey-heart,5,6,4,3,2,8,7,8,3,2,title_synopsis_rule_enrichment,
